,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,0,0,2.5554754734039307,64,5,0.078125,2.5554754734039307,64,5.0,0.078125,0.9390506049999914,0.9390506049999914
0,0,1,2.3865208625793457,64,9,0.140625,2.470998167991638,128,14.0,0.109375,0.03141160600000603,0.9704622109999974
0,0,2,2.305464506149292,64,7,0.109375,2.415820280710856,192,21.0,0.109375,0.023019508999993832,0.9934817199999912
0,0,3,2.377746820449829,64,6,0.09375,2.4063019156455994,256,27.0,0.10546875,0.02030346700000507,1.0137851869999963
0,0,4,2.3832926750183105,64,5,0.078125,2.4017000675201414,320,32.0,0.1,0.02125683300000958,1.035042020000006
0,0,5,2.3788087368011475,64,8,0.125,2.3978848457336426,384,40.0,0.10416666666666667,0.018867757999998958,1.0539097780000048
0,0,6,2.197418689727783,64,10,0.15625,2.3692468234470914,448,50.0,0.11160714285714286,0.019648211000003357,1.0735579890000082
0,0,7,2.2257752418518066,64,9,0.140625,2.3513128757476807,512,59.0,0.115234375,0.02450120400000344,1.0980591930000116
0,0,8,2.2503719329833984,64,8,0.125,2.3400972154405384,576,67.0,0.11631944444444445,0.022394722000001366,1.120453915000013
0,0,9,2.325159788131714,64,7,0.109375,2.338603472709656,640,74.0,0.115625,0.020480499999990798,1.1409344150000038
0,0,10,2.2885093688964844,64,7,0.109375,2.3340494632720947,704,81.0,0.11505681818181818,0.023311348000007115,1.164245763000011
0,0,11,2.233083486557007,64,9,0.140625,2.325635631879171,768,90.0,0.1171875,0.02107045599998969,1.1853162190000006
0,0,12,2.3085083961486816,64,10,0.15625,2.324318152207595,832,100.0,0.1201923076923077,0.020276671999994278,1.205592890999995
0,0,13,2.2540595531463623,64,18,0.28125,2.319299680846078,896,118.0,0.13169642857142858,0.022028143,1.227621033999995
0,0,14,2.204184055328369,64,10,0.15625,2.3116253058115643,960,128.0,0.13333333333333333,0.02066838300000029,1.2482894169999952
0,0,15,2.142652988433838,64,12,0.1875,2.3010645359754562,1024,140.0,0.13671875,0.02695433300000616,1.2752437500000013
0,0,16,2.051708698272705,64,18,0.28125,2.2863965455223534,1088,158.0,0.14522058823529413,0.02770176499998911,1.3029455149999905
0,0,17,2.217406988143921,64,13,0.203125,2.2825637923346624,1152,171.0,0.1484375,0.02163252800001203,1.3245780430000025
0,0,18,2.194843292236328,64,13,0.203125,2.2779469239084342,1216,184.0,0.1513157894736842,0.022159377999997787,1.3467374210000003
0,0,19,2.100792646408081,64,19,0.296875,2.2690892100334166,1280,203.0,0.15859375,0.021159837000013226,1.3678972580000135
0,0,20,2.1457037925720215,64,13,0.203125,2.2632137139638266,1344,216.0,0.16071428571428573,0.02052878700000349,1.388426045000017
0,0,21,2.200286626815796,64,12,0.1875,2.2603533918207344,1408,228.0,0.16193181818181818,0.029560369000009246,1.4179864140000262
0,0,22,2.2301571369171143,64,13,0.203125,2.2590405111727505,1472,241.0,0.1637228260869565,0.020942720000007853,1.438929134000034
0,0,23,2.197181224822998,64,13,0.203125,2.256463040908178,1536,254.0,0.16536458333333334,0.021793607999995857,1.46072274200003
0,0,24,2.1727709770202637,64,10,0.15625,2.253115358352661,1600,264.0,0.165,0.02083816399999705,1.481560906000027
0,0,25,2.0896544456481934,64,8,0.125,2.24682840017172,1664,272.0,0.16346153846153846,0.03149390199999402,1.513054808000021
0,0,26,2.1114695072174072,64,8,0.125,2.241815107840079,1728,280.0,0.16203703703703703,0.021906534999999394,1.5349613430000204
0,0,27,2.0593466758728027,64,13,0.203125,2.235298378126962,1792,293.0,0.16350446428571427,0.02152938999999776,1.5564907330000182
0,0,28,1.9433907270431519,64,17,0.265625,2.2252325970551063,1856,310.0,0.16702586206896552,0.021888450000005832,1.578379183000024
0,0,29,2.129746198654175,64,13,0.203125,2.222049717108409,1920,323.0,0.16822916666666668,0.023569543000007798,1.6019487260000318
0,0,30,2.105217933654785,64,10,0.15625,2.2182809499002274,1984,333.0,0.16784274193548387,0.018642205999981343,1.6205909320000131
0,0,31,1.9702571630477905,64,18,0.28125,2.2105302065610886,2048,351.0,0.17138671875,0.02208004199999891,1.642670974000012
0,0,32,1.990256667137146,64,16,0.25,2.2038552508209692,2112,367.0,0.1737689393939394,0.022639064000003373,1.6653100380000154
0,0,33,2.0451502799987793,64,13,0.203125,2.199187457561493,2176,380.0,0.17463235294117646,0.022287396999985276,1.6875974350000007
0,0,34,2.010836601257324,64,14,0.21875,2.193806004524231,2240,394.0,0.17589285714285716,0.02094929799997658,1.7085467329999773
0,0,35,2.154127836227417,64,16,0.25,2.192703833182653,2304,410.0,0.1779513888888889,0.021598596000018233,1.7301453289999955
0,0,36,1.9791250228881836,64,16,0.25,2.186931432904424,2368,426.0,0.17989864864864866,0.021629296999975622,1.7517746259999711
0,0,37,2.157250165939331,64,15,0.234375,2.186150346931658,2432,441.0,0.18133223684210525,0.024084195000000364,1.7758588209999715
0,0,38,2.20892333984375,64,14,0.21875,2.18673426982684,2496,455.0,0.18229166666666666,0.02236605999999597,1.7982248809999675
0,0,39,2.1838197708129883,64,10,0.15625,2.186661407351494,2560,465.0,0.181640625,0.021286707999990995,1.8195115889999585
0,0,40,2.0147855281829834,64,12,0.1875,2.1824693127376276,2624,477.0,0.18178353658536586,0.020844278999987864,1.8403558679999463
0,0,41,2.007920503616333,64,20,0.3125,2.1783133887109303,2688,497.0,0.18489583333333334,0.02220797100000027,1.8625638389999466
0,0,42,2.0977437496185303,64,14,0.21875,2.1764396761738976,2752,511.0,0.18568313953488372,0.01936138900001083,1.8819252279999574
0,0,43,1.9908970594406128,64,14,0.21875,2.1722227985208686,2816,525.0,0.1864346590909091,0.023335747000004403,1.9052609749999618
0,0,44,2.0292563438415527,64,19,0.296875,2.1690457661946616,2880,544.0,0.18888888888888888,0.01902689099998156,1.9242878659999434
0,0,45,2.0109105110168457,64,15,0.234375,2.165608043256013,2944,559.0,0.18987771739130435,0.02169667000001141,1.9459845359999548
0,0,46,2.006927967071533,64,19,0.296875,2.1622318714223008,3008,578.0,0.19215425531914893,0.020576432999973804,1.9665609689999286
0,0,47,2.002971887588501,64,17,0.265625,2.15891395509243,3072,595.0,0.19368489583333334,0.02159527399999206,1.9881562429999207
0,0,48,2.0817177295684814,64,13,0.203125,2.157338521918472,3136,608.0,0.19387755102040816,0.02137600699998643,2.009532249999907
0,0,49,1.8687478303909302,64,22,0.34375,2.151566708087921,3200,630.0,0.196875,0.020644647000011673,2.0301768969999188
0,0,50,2.137284755706787,64,11,0.171875,2.151286669805938,3264,641.0,0.19638480392156862,0.015389897000005703,2.0455667939999245
0,0,51,1.9855350255966187,64,11,0.171875,2.148099138186528,3328,652.0,0.19591346153846154,0.021233010000003105,2.0667998039999276
0,0,52,2.07198429107666,64,17,0.265625,2.146663008995776,3392,669.0,0.19722877358490565,0.019393058999980894,2.0861928629999085
0,0,53,2.0002942085266113,64,11,0.171875,2.1439524756537542,3456,680.0,0.19675925925925927,0.02023196700000085,2.1064248299999093
0,0,54,1.9404526948928833,64,16,0.25,2.1402524796399205,3520,696.0,0.19772727272727272,0.02188998500000139,2.1283148149999107
0,0,55,1.9291181564331055,64,17,0.265625,2.13648222386837,3584,713.0,0.19893973214285715,0.022161744000015915,2.1504765589999266
0,0,56,1.9902814626693726,64,16,0.25,2.1339172982333,3648,729.0,0.19983552631578946,0.021818832000008115,2.1722953909999347
0,0,57,1.9451954364776611,64,20,0.3125,2.1306634730306167,3712,749.0,0.2017780172413793,0.022649301000001287,2.194944691999936
0,0,58,2.1832120418548584,64,11,0.171875,2.131554126739502,3776,760.0,0.20127118644067796,0.023510459999982913,2.218455151999919
0,0,59,1.8545492887496948,64,16,0.25,2.126937379439672,3840,776.0,0.20208333333333334,0.0312640619999911,2.24971921399991
0,0,60,1.8966907262802124,64,15,0.234375,2.1231628441419756,3904,791.0,0.2026127049180328,0.02442741199999432,2.2741466259999044
0,0,61,1.8691953420639038,64,21,0.328125,2.1190665941084585,3968,812.0,0.20463709677419356,0.026047525999985055,2.3001941519998894
0,0,62,2.0959978103637695,64,12,0.1875,2.118700422937908,4032,824.0,0.20436507936507936,0.021754080999983216,2.3219482329998726
0,0,63,1.8310269117355347,64,19,0.296875,2.114205524325371,4096,843.0,0.205810546875,0.021802890000003572,2.343751122999876
0,0,64,1.928302526473999,64,18,0.28125,2.1113454782045804,4160,861.0,0.20697115384615383,0.021747562999991032,2.3654986859998672
0,0,65,2.1825966835021973,64,15,0.234375,2.112425041921211,4224,876.0,0.20738636363636365,0.021818526000004113,2.3873172119998713
0,0,66,1.904026746749878,64,19,0.296875,2.109314619605221,4288,895.0,0.20872201492537312,0.018454284999990023,2.4057714969998614
0,0,67,2.001272201538086,64,16,0.25,2.1077257605159985,4352,911.0,0.20932904411764705,0.020479348999998592,2.42625084599986
0,0,68,2.1397976875305176,64,14,0.21875,2.108190571052441,4416,925.0,0.20946557971014493,0.020490513999988025,2.446741359999848
0,0,69,2.078751802444458,64,11,0.171875,2.107770017215184,4480,936.0,0.20892857142857144,0.02180596700000592,2.468547326999854
0,0,70,1.8781861066818237,64,15,0.234375,2.1045364410104885,4544,951.0,0.2092869718309859,0.022526154000019005,2.491073480999873
0,0,71,2.0658349990844727,64,17,0.265625,2.1039989209837384,4608,968.0,0.21006944444444445,0.02094112699998618,2.512014607999859
0,0,72,1.8414642810821533,64,23,0.359375,2.1004025560535795,4672,991.0,0.21211472602739725,0.022686609999993834,2.534701217999853
0,0,73,1.8533886671066284,64,20,0.3125,2.0970645305272697,4736,1011.0,0.21347128378378377,0.022260901999999305,2.5569621199998522
0,0,74,2.070957660675049,64,16,0.25,2.09671643892924,4800,1027.0,0.21395833333333333,0.02501548800000819,2.5819776079998604
0,0,75,1.8846373558044434,64,20,0.3125,2.0939259246775976,4864,1047.0,0.21525493421052633,0.022093536999989283,2.6040711449998497
0,0,76,1.9761319160461426,64,16,0.25,2.0923961323577087,4928,1063.0,0.21570616883116883,0.022512424000012743,2.6265835689998625
0,0,77,1.7385330200195312,64,21,0.328125,2.087859425789271,4992,1084.0,0.2171474358974359,0.016244120999999723,2.642827689999862
0,0,78,1.8752328157424927,64,21,0.328125,2.085167949712729,5056,1105.0,0.21855221518987342,0.02018665999997893,2.663014349999841
0,0,79,2.116779088973999,64,13,0.203125,2.085563088953495,5120,1118.0,0.218359375,0.01879175499999519,2.6818061049998363
0,0,80,1.94901704788208,64,13,0.203125,2.083877335360021,5184,1131.0,0.2181712962962963,0.02662022100000172,2.708426325999838
0,0,81,1.8576940298080444,64,18,0.28125,2.0811190023654844,5248,1149.0,0.2189405487804878,0.028509504999988167,2.736935830999826
0,0,82,1.9077595472335815,64,18,0.28125,2.079030334231365,5312,1167.0,0.21969126506024098,0.02196065799998337,2.7588964889998095
0,0,83,1.9366408586502075,64,15,0.234375,2.0773352214268277,5376,1182.0,0.21986607142857142,0.023999016999994183,2.7828955059998037
