,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,1,0,2.5724334716796875,64,4,0.0625,2.5724334716796875,64,4.0,0.0625,0.9482667649999712,0.9482667649999712
0,1,1,2.323150396347046,64,8,0.125,2.4477919340133667,128,12.0,0.09375,0.17176643000038894,1.1200331950003601
0,1,2,2.403172731399536,64,10,0.15625,2.4329188664754233,192,22.0,0.11458333333333333,0.16614746100003686,1.286180656000397
0,1,3,2.2339181900024414,64,7,0.109375,2.3831686973571777,256,29.0,0.11328125,0.1623127189996012,1.4484933749999982
0,1,4,2.1988086700439453,64,10,0.15625,2.346296691894531,320,39.0,0.121875,0.16253634900022007,1.6110297240002183
0,1,5,2.2014949321746826,64,12,0.1875,2.3221630652745566,384,51.0,0.1328125,0.16754725500049972,1.778576979000718
0,1,6,2.4350714683532715,64,9,0.140625,2.3382928371429443,448,60.0,0.13392857142857142,0.1646911670004556,1.9432681460011736
0,1,7,2.3913166522979736,64,6,0.09375,2.344920814037323,512,66.0,0.12890625,0.1655484240000078,2.1088165700011814
0,1,8,2.167508602142334,64,12,0.1875,2.3252083460489907,576,78.0,0.13541666666666666,0.16666025099948456,2.275476821000666
0,1,9,2.271439790725708,64,9,0.140625,2.3198314905166626,640,87.0,0.1359375,0.16219181999986176,2.4376686410005277
0,1,10,2.1652896404266357,64,15,0.234375,2.3057822314175693,704,102.0,0.14488636363636365,0.16260736900039774,2.6002760100009255
0,1,11,2.107018232345581,64,16,0.25,2.289218564828237,768,118.0,0.15364583333333334,0.16195397800038336,2.762229988001309
0,1,12,2.09161114692688,64,11,0.171875,2.2740179942204404,832,129.0,0.15504807692307693,0.16222078899954795,2.9244507770008568
0,1,13,2.1134591102600098,64,12,0.1875,2.262549502508981,896,141.0,0.15736607142857142,0.16104366000035952,3.0854944370012163
0,1,14,2.087980031967163,64,18,0.28125,2.2509115378061932,960,159.0,0.165625,0.16659140799947636,3.2520858450006926
0,1,15,2.197783946990967,64,14,0.21875,2.2475910633802414,1024,173.0,0.1689453125,0.16267260600034206,3.4147584510010347
0,1,16,2.0991432666778564,64,17,0.265625,2.238858840044807,1088,190.0,0.17463235294117646,0.162376683999355,3.5771351350003897
0,1,17,2.1282825469970703,64,14,0.21875,2.232715712653266,1152,204.0,0.17708333333333334,0.16388091899989377,3.7410160540002835
0,1,18,1.9963520765304565,64,16,0.25,2.2202755212783813,1216,220.0,0.18092105263157895,0.16429509699992195,3.9053111510002054
0,1,19,1.9962573051452637,64,16,0.25,2.2090746104717254,1280,236.0,0.184375,0.1634063530000276,4.068717504000233
0,1,20,2.126193046569824,64,13,0.203125,2.20512786933354,1344,249.0,0.18526785714285715,0.16237042200009455,4.231087926000328
0,1,21,2.163489580154419,64,13,0.203125,2.2032352198253977,1408,262.0,0.18607954545454544,0.16331529400031286,4.39440322000064
0,1,22,2.1013331413269043,64,15,0.234375,2.1988046946732895,1472,277.0,0.18817934782608695,0.16307568600041122,4.557478906001052
0,1,23,1.9076108932495117,64,18,0.28125,2.1866716196139655,1536,295.0,0.19205729166666666,0.16461331000027712,4.722092216001329
0,1,24,2.112663745880127,64,12,0.1875,2.183711304664612,1600,307.0,0.191875,0.17614573100036068,4.8982379470016895
0,1,25,2.047574520111084,64,15,0.234375,2.178475274489476,1664,322.0,0.1935096153846154,0.16490858999986813,5.063146537001558
0,1,26,2.0201613903045654,64,15,0.234375,2.1726117972974426,1728,337.0,0.19502314814814814,0.16350938200048404,5.226655919002042
0,1,27,2.0868523120880127,64,11,0.171875,2.1695489585399628,1792,348.0,0.19419642857142858,0.16358194899930822,5.39023786800135
0,1,28,1.9851363897323608,64,15,0.234375,2.163189904443149,1856,363.0,0.19558189655172414,0.1619453479997901,5.55218321600114
0,1,29,2.1117143630981445,64,9,0.140625,2.1614740530649823,1920,372.0,0.19375,0.17861893699955544,5.730802153000695
0,1,30,1.9556678533554077,64,19,0.296875,2.1548351433969315,1984,391.0,0.1970766129032258,0.162837125999431,5.893639279000126
0,1,31,2.027984142303467,64,15,0.234375,2.1508710496127605,2048,406.0,0.1982421875,0.1657426530000521,6.0593819320001785
0,1,32,1.8351657390594482,64,21,0.328125,2.141304222020236,2112,427.0,0.2021780303030303,0.16341268599990144,6.22279461800008
0,1,33,1.966028094291687,64,19,0.296875,2.1361490417929256,2176,446.0,0.20496323529411764,0.16405778799980908,6.386852405999889
0,1,34,1.8705298900604248,64,19,0.296875,2.128559923171997,2240,465.0,0.20758928571428573,0.16498550999949657,6.551837915999386
0,1,35,1.948723316192627,64,12,0.1875,2.1235644618670144,2304,477.0,0.20703125,0.16357526999945549,6.715413185998841
0,1,36,2.0167980194091797,64,17,0.265625,2.120678882341127,2368,494.0,0.20861486486486486,0.16685775999940233,6.882270945998243
