,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,1,0,2.460907459259033,64,4,0.0625,2.460907459259033,64,4.0,0.0625,1.740169123000669,1.740169123000669
0,1,1,2.4403605461120605,64,8,0.125,2.450634002685547,128,12.0,0.09375,0.2172686160010926,1.9574377390017617
0,1,2,2.6447572708129883,64,4,0.0625,2.5153417587280273,192,16.0,0.08333333333333333,0.20346445799805224,2.160902196999814
0,1,3,2.3079073429107666,64,8,0.125,2.463483154773712,256,24.0,0.09375,0.20306660999995074,2.3639688069997646
0,1,4,2.151963472366333,64,16,0.25,2.4011792182922362,320,40.0,0.125,0.20093782800176996,2.5649066350015346
0,1,5,2.196722984313965,64,11,0.171875,2.367103179295858,384,51.0,0.1328125,0.20358934699834208,2.7684959819998767
0,1,6,2.5216662883758545,64,9,0.140625,2.389183623450143,448,60.0,0.13392857142857142,0.20394549100092263,2.9724414730007993
0,1,7,2.3144640922546387,64,8,0.125,2.379843682050705,512,68.0,0.1328125,0.20418513800177607,3.1766266110025754
0,1,8,2.2581000328063965,64,9,0.140625,2.3663166099124484,576,77.0,0.13368055555555555,0.20304690900229616,3.3796735200048715
0,1,9,2.3356666564941406,64,6,0.09375,2.3632516145706175,640,83.0,0.1296875,0.20132259499951033,3.580996115004382
0,1,10,2.142277479171753,64,15,0.234375,2.3431630568070845,704,98.0,0.13920454545454544,0.20259938099843566,3.7835954960028175
0,1,11,2.1367745399475098,64,15,0.234375,2.325964013735453,768,113.0,0.14713541666666666,0.20206883500213735,3.985664331004955
0,1,12,2.1113638877868652,64,14,0.21875,2.309456311739408,832,127.0,0.15264423076923078,0.20301459500115016,4.188678926006105
0,1,13,2.086977005004883,64,12,0.1875,2.293564932686942,896,139.0,0.15513392857142858,0.2036266630020691,4.392305589008174
0,1,14,2.199880838394165,64,18,0.28125,2.2873193264007567,960,157.0,0.16354166666666667,0.2022032639979443,4.594508853006118
0,1,15,2.1509249210357666,64,10,0.15625,2.278794676065445,1024,167.0,0.1630859375,0.20384810099858441,4.798356954004703
0,1,16,2.099926710128784,64,14,0.21875,2.2682730310103474,1088,181.0,0.16636029411764705,0.20419003799906932,5.002546992003772
0,1,17,2.217540740966797,64,12,0.1875,2.265454570452372,1152,193.0,0.1675347222222222,0.20464304699999047,5.207190039003763
0,1,18,2.050309896469116,64,13,0.203125,2.254131166558517,1216,206.0,0.16940789473684212,0.2067981879990839,5.4139882270028465
0,1,19,2.056147336959839,64,17,0.265625,2.244231975078583,1280,223.0,0.17421875,0.20894623899948783,5.622934466002334
0,1,20,2.075279712677002,64,10,0.15625,2.236186629249936,1344,233.0,0.17336309523809523,0.2178072599999723,5.840741726002307
0,1,21,2.235342502593994,64,7,0.109375,2.2361482598564844,1408,240.0,0.17045454545454544,0.21626561399898492,6.057007340001292
0,1,22,2.1506965160369873,64,18,0.28125,2.232432966646941,1472,258.0,0.17527173913043478,0.21623157899739454,6.273238918998686
0,1,23,1.9953032732009888,64,13,0.203125,2.2225525627533593,1536,271.0,0.17643229166666666,0.20737534599902574,6.480614264997712
0,1,24,2.0823187828063965,64,13,0.203125,2.216943211555481,1600,284.0,0.1775,0.20842280800206936,6.689037072999781
0,1,25,2.115825653076172,64,12,0.1875,2.213054074690892,1664,296.0,0.1778846153846154,0.20591800500187674,6.894955078001658
0,1,26,2.1740024089813232,64,13,0.203125,2.211607716701649,1728,309.0,0.17881944444444445,0.2126328909980657,7.107587968999724
0,1,27,2.085080146789551,64,12,0.1875,2.207088874919074,1792,321.0,0.17912946428571427,0.21153490299911937,7.319122871998843
0,1,28,2.0295000076293945,64,15,0.234375,2.2009651208746024,1856,336.0,0.1810344827586207,0.2081195700011449,7.527242441999988
0,1,29,2.1627159118652344,64,12,0.1875,2.1996901472409567,1920,348.0,0.18125,0.20356918800098356,7.7308116300009715
0,1,30,1.9773420095443726,64,11,0.171875,2.192517626670099,1984,359.0,0.18094758064516128,0.19798288799938746,7.928794518000359
0,1,31,1.9339627027511597,64,23,0.359375,2.184437785297632,2048,382.0,0.1865234375,0.2185514949997014,8.14734601300006
0,1,32,1.8966526985168457,64,23,0.359375,2.175717025092154,2112,405.0,0.19176136363636365,0.2032220379987848,8.350568050998845
0,1,33,1.9019988775253296,64,21,0.328125,2.1676664913401886,2176,426.0,0.1957720588235294,0.20986528399953386,8.560433334998379
0,1,34,1.8569443225860596,64,23,0.359375,2.1587887150900706,2240,449.0,0.20044642857142858,0.21488127799966605,8.775314612998045
0,1,35,2.067065954208374,64,12,0.1875,2.1562408606211343,2304,461.0,0.20008680555555555,0.20649927399790613,8.981813886995951
0,1,36,2.059575319290161,64,13,0.203125,2.153628278423,2368,474.0,0.20016891891891891,0.21176881300198147,9.193582699997933
0,1,37,2.020683765411377,64,12,0.1875,2.1501297386069047,2432,486.0,0.19983552631578946,0.2133886289993825,9.406971328997315
0,1,38,1.8186525106430054,64,23,0.359375,2.141630322505266,2496,509.0,0.20392628205128205,0.21529514699795982,9.622266475995275
0,1,39,1.9618914127349854,64,16,0.25,2.137136849761009,2560,525.0,0.205078125,0.2119820260013512,9.834248501996626
0,1,40,1.9136711359024048,64,19,0.296875,2.131686466496165,2624,544.0,0.2073170731707317,0.214446024998324,10.04869452699495
0,1,41,1.888013482093811,64,17,0.265625,2.1258847287722995,2688,561.0,0.20870535714285715,0.21463691799726803,10.263331444992218
0,1,42,2.084641456604004,64,11,0.171875,2.1249255829079208,2752,572.0,0.20784883720930233,0.22015674599970225,10.48348819099192
0,1,43,1.8654872179031372,64,16,0.25,2.1190292564305393,2816,588.0,0.20880681818181818,0.20905154700085404,10.692539737992774
0,1,44,1.956383466720581,64,13,0.203125,2.1154149055480955,2880,601.0,0.20868055555555556,0.2125641929997073,10.905103930992482
0,1,45,2.0486834049224854,64,16,0.25,2.1139642207518867,2944,617.0,0.20957880434782608,0.21445792300073663,11.119561853993218
0,1,46,1.8644427061080933,64,19,0.296875,2.1086552523552102,3008,636.0,0.21143617021276595,0.22748999599934905,11.347051849992567
0,1,47,2.009763479232788,64,12,0.1875,2.1065950070818267,3072,648.0,0.2109375,0.22012270300183445,11.567174552994402
0,1,48,2.0637919902801514,64,13,0.203125,2.1057214761266905,3136,661.0,0.2107780612244898,0.21336302000054275,11.780537572994945
0,1,49,1.9230612516403198,64,21,0.328125,2.1020682716369627,3200,682.0,0.213125,0.2184677309996914,11.999005303994636
0,1,50,1.7558451890945435,64,23,0.359375,2.095279583743974,3264,705.0,0.21599264705882354,0.21791871599998558,12.216924019994622
0,1,51,1.7325915098190308,64,23,0.359375,2.0883048130915713,3328,728.0,0.21875,0.2167000809968158,12.433624100991437
0,1,52,2.0747127532958984,64,16,0.25,2.0880483591331624,3392,744.0,0.21933962264150944,0.21973650599829853,12.653360606989736
0,1,53,1.8717608451843262,64,22,0.34375,2.084043034800777,3456,766.0,0.22164351851851852,0.21446281500175246,12.867823421991488
0,1,54,1.7864208221435547,64,22,0.34375,2.0786317218433727,3520,788.0,0.22386363636363638,0.2129468179991818,13.08077023999067
0,1,55,2.179126501083374,64,12,0.1875,2.0804262714726582,3584,800.0,0.22321428571428573,0.21686598800079082,13.297636227991461
0,1,56,2.038459062576294,64,16,0.25,2.0796900046499154,3648,816.0,0.2236842105263158,0.22051418000046397,13.518150407991925
0,1,57,1.9925282001495361,64,18,0.28125,2.07818721491715,3712,834.0,0.22467672413793102,0.2168185660011659,13.734968973993091
0,1,58,2.0326900482177734,64,8,0.125,2.0774160764985163,3776,842.0,0.2229872881355932,0.2173522060002142,13.952321179993305
0,1,59,1.9019790887832642,64,15,0.234375,2.0744921267032623,3840,857.0,0.22317708333333333,0.21061487500264775,14.162936054995953
0,1,60,1.9395058155059814,64,10,0.15625,2.072279236355766,3904,867.0,0.22207991803278687,0.22002545299983467,14.382961507995788
0,1,61,1.8683305978775024,64,19,0.296875,2.0689897421867616,3968,886.0,0.22328629032258066,0.21458880900172517,14.597550316997513
0,1,62,1.8457565307617188,64,16,0.25,2.0654463578784275,4032,902.0,0.22371031746031747,0.23634399300135556,14.833894309998868
0,1,63,1.8161565065383911,64,27,0.421875,2.0615512039512396,4096,929.0,0.226806640625,0.21982064099938725,15.053714950998256
0,1,64,1.943621039390564,64,18,0.28125,2.059736893727229,4160,947.0,0.22764423076923077,0.21799366599952918,15.271708616997785
0,1,65,1.7922781705856323,64,21,0.328125,2.0556844888311443,4224,968.0,0.22916666666666666,0.2166068799997447,15.48831549699753
0,1,66,1.9832350015640259,64,17,0.265625,2.0546031532002917,4288,985.0,0.2297108208955224,0.22316539299936267,15.711480889996892
0,1,67,1.7553824186325073,64,19,0.296875,2.0502028482801773,4352,1004.0,0.23069852941176472,0.21935954999935348,15.930840439996246
0,1,68,1.8878053426742554,64,29,0.453125,2.0478492612424106,4416,1033.0,0.23392210144927536,0.2146522279981582,16.145492667994404
0,1,69,1.7643085718154907,64,22,0.34375,2.043798679964883,4480,1055.0,0.23549107142857142,0.2097331570003007,16.355225824994704
0,1,70,1.8707648515701294,64,19,0.296875,2.041361583790309,4544,1074.0,0.2363556338028169,0.21298794300309964,16.568213767997804
0,1,71,1.6752240657806396,64,32,0.5,2.036276340484619,4608,1106.0,0.2400173611111111,0.2091466229976504,16.777360390995455
0,1,72,1.7402945756912231,64,22,0.34375,2.032221795761422,4672,1128.0,0.24143835616438356,0.21672902899808832,16.994089419993543
0,1,73,1.9754282236099243,64,18,0.28125,2.031454315056672,4736,1146.0,0.24197635135135134,0.20559604599839076,17.199685465991934
0,1,74,1.8552870750427246,64,23,0.359375,2.0291054185231525,4800,1169.0,0.24354166666666666,0.21594587300205603,17.41563133899399
0,1,75,1.9633092880249023,64,19,0.296875,2.0282396799639653,4864,1188.0,0.24424342105263158,0.21882851600094,17.63445985499493
0,1,76,2.080254554748535,64,11,0.171875,2.02891519781831,4928,1199.0,0.24330357142857142,0.21772101799797383,17.852180872992903
