,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,0,0,2.43060564994812,64,10,0.15625,2.43060564994812,64,10.0,0.15625,1.2777734779956518,1.2777734779956518
0,0,1,2.4168388843536377,64,6,0.09375,2.423722267150879,128,16.0,0.125,0.6139345479969052,1.891708025992557
0,0,2,2.3700833320617676,64,11,0.171875,2.4058426221211753,192,27.0,0.140625,0.6100931750042946,2.5018012009968515
0,0,3,2.1953959465026855,64,7,0.109375,2.3532309532165527,256,34.0,0.1328125,0.6101520559968776,3.111953256993729
0,0,4,2.384572982788086,64,9,0.140625,2.3594993591308593,320,43.0,0.134375,0.6104388890016708,3.7223921459954
0,0,5,2.4565365314483643,64,9,0.140625,2.375672221183777,384,52.0,0.13541666666666666,0.6113468309995369,4.333738976994937
0,0,6,2.0651657581329346,64,16,0.25,2.3313141550336565,448,68.0,0.15178571428571427,0.6109624570017331,4.94470143399667
0,0,7,2.2053587436676025,64,9,0.140625,2.3155697286129,512,77.0,0.150390625,0.6129011580051156,5.5576025920017855
0,0,8,2.186535596847534,64,9,0.140625,2.3012326028611927,576,86.0,0.14930555555555555,0.61166352500004,6.1692661170018255
0,0,9,2.3367526531219482,64,8,0.125,2.3047846078872682,640,94.0,0.146875,0.6131574390019523,6.782423556003778
0,0,10,2.1367008686065674,64,15,0.234375,2.2895042679526587,704,109.0,0.15482954545454544,0.6104018490004819,7.39282540500426
0,0,11,2.244568347930908,64,14,0.21875,2.285759607950846,768,123.0,0.16015625,0.6102298309997423,8.003055236004002
0,0,12,2.240421772003174,64,10,0.15625,2.282272082108718,832,133.0,0.15985576923076922,0.6225047789994278,8.62556001500343
0,0,13,2.157135248184204,64,14,0.21875,2.2733337368283952,896,147.0,0.1640625,0.6120372060031514,9.237597221006581
0,0,14,2.1700525283813477,64,10,0.15625,2.2664483229319257,960,157.0,0.16354166666666667,0.609764777997043,9.847361999003624
0,0,15,2.1303067207336426,64,9,0.140625,2.2579394727945328,1024,166.0,0.162109375,0.6102964090023306,10.457658408005955
0,0,16,2.0422534942626953,64,16,0.25,2.24525206229266,1088,182.0,0.16727941176470587,0.6097130150010344,11.067371423006989
0,0,17,2.09553861618042,64,14,0.21875,2.2369346486197577,1152,196.0,0.1701388888888889,0.6112539509995258,11.678625374006515
0,0,18,2.093327045440674,64,17,0.265625,2.2293763537155953,1216,213.0,0.17516447368421054,0.6108894310018513,12.289514805008366
0,0,19,2.1109519004821777,64,14,0.21875,2.2234551310539246,1280,227.0,0.17734375,0.6103229349973844,12.89983774000575
0,0,20,1.970492959022522,64,17,0.265625,2.2114093133381436,1344,244.0,0.18154761904761904,0.610312276003242,13.510150016008993
0,0,21,2.0970845222473145,64,14,0.21875,2.206212731924924,1408,258.0,0.18323863636363635,0.6108214920022874,14.12097150801128
